;Scopy version,f8fd4de
;Exported on,Monday August 29/08/2022
;Device,M2K
;Nr of samples,100
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,500,26.3408,176.238
1,551.001,26.3573,176.137
2,607.205,26.3691,175.553
3,669.142,26.3806,175.327
4,737.396,26.382,174.916
5,812.613,26.3277,174.449
6,895.502,26.3475,173.779
7,986.846,26.3345,173.196
8,1087.51,26.3211,172.854
9,1198.44,26.331,171.923
10,1320.68,26.3258,171.397
11,1455.39,26.3316,170.597
12,1603.85,26.3414,170.156
13,1767.44,26.3443,168.946
14,1947.73,26.3402,167.742
15,2146.4,26.3428,166.757
16,2365.34,26.3467,165.508
17,2606.61,26.3447,164.882
18,2872.5,26.3581,162.782
19,3165.5,26.3637,161.501
20,3488.39,26.3634,160.161
21,3844.21,26.3606,158.132
22,4236.33,26.3726,156.125
23,4668.45,26.3393,154.179
24,5144.65,26.3539,151.345
25,5669.42,26.3212,148.885
26,6247.72,26.2896,146.698
27,6885,26.255,143.761
28,7587.29,26.0809,141.366
29,8361.22,25.9845,137.119
30,9214.08,25.8885,132.265
31,10153.9,25.7108,128.802
32,11189.7,25.5518,123.827
33,12331.1,25.3463,118.909
34,13588.9,25.1053,113.575
35,14975,24.8334,108.349
36,16502.5,24.6359,107.02
37,18185.8,24.3869,106.122
38,20040.8,23.9355,105.354
39,22085,23.2929,103.153
40,24337.7,22.4866,101.889
41,26820.2,21.6654,101.009
42,29556,20.9101,97.5234
43,32570.8,20.0768,96.9958
44,35893.1,19.1772,96.4482
45,39554.3,18.4365,95.0428
46,43588.9,17.6582,91.3797
47,48035.1,16.7123,89.6584
48,52934.8,15.948,91.4178
49,58334.3,15.1043,90.9069
50,64284.6,14.04,89.8716
51,70841.8,13.3124,90.5788
52,78067.9,12.4567,92.0991
53,86031.1,11.5627,90.055
54,94806.5,10.8106,88.1549
55,104477,9.9623,89.0406
56,115134,9.15159,87.8435
57,126878,8.32194,88.4653
58,139820,7.48583,86.7453
59,154082,6.67225,84.7058
60,169799,5.84346,85.9959
61,187119,5.06084,83.1373
62,206205,4.34623,80.5844
63,227239,3.3577,83.5095
64,250418,2.40025,83.3893
65,275961,1.74106,81.8196
66,304110,0.730234,75.2802
67,335130,0.527121,88.5104
68,369314,-0.62238,79.3199
69,406986,-1.52911,74.5559
70,448499,-1.94862,68.0814
71,494248,-2.9227,59.6846
72,544662,-2.9282,46.3847
73,600219,-4.08639,67.6555
74,661444,-4.92703,78.2224
75,728913,-4.80382,67.7706
76,803264,-4.10274,90.3593
77,885199,-3.10316,-30.7337
78,975492,-4.70557,7.45931
79,1.075e+06,-8.71834,59.5482
80,1.18465e+06,-9.3766,67.145
81,1.30549e+06,-9.63722,49.1803
82,1.43865e+06,-10.0374,52.0072
83,1.58539e+06,-10.2756,50.9014
84,1.74711e+06,-9.58047,37.7002
85,1.92532e+06,-8.32951,29.7287
86,2.12171e+06,-10.1498,32.5742
87,2.33813e+06,-8.51644,-14.9192
88,2.57662e+06,-7.06093,-7.72583
89,2.83945e+06,-9.06446,-53.5298
90,3.12908e+06,-7.49226,-39.8706
91,3.44825e+06,-17.5581,-80.9669
92,3.79999e+06,-9.6919,-131.177
93,4.1876e+06,-7.61644,178.501
94,4.61474e+06,-13.3724,-156.944
95,5.08546e+06,-13.2933,-112.441
96,5.60419e+06,-7.07882,-62.922
97,6.17584e+06,-10.3254,-46.0061
98,6.80579e+06,-9.50525,55.7713
99,7.5e+06,-5.12549,132.329
